NODAL DISPLACEMENTS: 
NODES             U             V           THETA 
37           -9.811620e+06  2.971335e+00  -9.246304e+04  9.811620e+06  1.987902e+00  9.246796e+04
38           -3.369157e+04  -1.269358e+03  -9.802302e+04  3.369157e+04  1.271838e+03  9.167003e+04
39           -1.962129e+03  -7.364442e+02  -4.528831e+03  1.961324e+03  7.369505e+02  -2.389949e+03
40           -3.364501e+04  3.400780e+03  -9.151742e+04  3.364501e+04  -3.398301e+03  1.085151e+05
41           3.946726e+05  -4.656396e+01  -1.526024e+02  -3.946734e+05  4.656396e+01  -2.175811e+02
42           1.003753e+03  7.104120e+02  2.150514e+03  -1.002948e+03  -7.099057e+02  4.519027e+03
43           -9.821200e+06  8.386317e+02  -9.201094e+04  9.821200e+06  -8.336725e+02  1.003792e+05
44           -2.606488e+04  -5.391283e+03  -1.081362e+05  2.606488e+04  5.393762e+03  8.117360e+04
45           -1.257373e+04  -8.428253e+02  -4.897945e+03  1.257297e+04  8.433317e+02  -2.734463e+03
46           -2.592487e+04  1.239462e+04  -8.071002e+04  2.592487e+04  -1.239214e+04  1.426769e+05
47           4.077884e+05  -1.400041e+02  -4.635789e+02  -4.077891e+05  1.400041e+02  -5.930320e+02
48           1.523764e+03  7.951589e+02  2.203991e+03  -1.523000e+03  -7.946526e+02  4.992309e+03
49           -9.853287e+06  4.131282e+02  -9.925574e+04  9.853287e+06  -4.081690e+02  1.033756e+05
50           -1.849703e+03  -1.614484e+04  -1.416470e+05  1.849703e+03  1.614732e+04  6.091661e+04
51           -3.852884e+04  -1.166420e+03  -6.022222e+03  3.852816e+04  1.166926e+03  -3.766757e+03
52           -1.430322e+03  3.060567e+04  -5.973224e+04  1.430322e+03  -3.060319e+04  2.127544e+05
53           4.367530e+05  -4.193808e+02  -1.184367e+03  -4.367537e+05  4.193808e+02  -1.641420e+03
54           -1.325473e+04  9.747910e+02  2.140917e+03  1.325541e+04  -9.742847e+02  6.035952e+03
55           -9.908652e+06  7.501106e+03  -1.001084e+05  9.908653e+06  -7.496147e+03  1.756488e+05
56           4.692897e+04  -4.038088e+04  -2.117986e+05  -4.692897e+04  4.038336e+04  9.887978e+03
57           -8.344448e+04  -1.378299e+03  -6.991764e+03  8.344393e+04  1.378805e+03  -3.275479e+03
58           4.734731e+04  7.046826e+04  -8.407714e+03  -4.734731e+04  -7.046578e+04  3.607428e+05
59           5.008516e+05  -4.183408e+02  -1.480264e+03  -5.008522e+05  4.183408e+02  -8.289770e+02
60           -1.352355e+03  1.915302e+03  4.680383e+03  1.352914e+03  -1.914796e+03  9.582605e+03
61           -1.002552e+07  -1.425372e+04  -1.762247e+05  1.002552e+07  1.425868e+04  3.177209e+04
62           2.577334e+05  -8.902195e+04  -3.557156e+05  -2.577334e+05  8.902443e+04  -8.940033e+04
63           -2.659970e+05  -4.382465e+03  -1.460979e+04  2.659966e+05  4.382972e+03  -1.314393e+04
64           2.662841e+05  1.113363e+05  1.034860e+05  -2.662841e+05  -1.113321e+05  8.428550e+05
65           5.903608e+05  -8.550761e+03  -1.408568e+04  -5.903612e+05  8.550761e+03  -1.914258e+04
66           -4.599890e+05  1.911270e+03  5.724736e+02  4.599894e+05  -1.910409e+03  1.728657e+04
67           -9.872784e+06  9.020982e+04  -5.805982e+01  9.872785e+06  -9.020561e+04  7.824002e+05
68           -2.007851e+05  -4.715692e+04  -8.407966e+05  2.007851e+05  4.715940e+04  6.050058e+05
69           4.088525e+05  -1.356538e+03  5.552511e+02  -4.088527e+05  1.356538e+03  -3.490800e+03
70           5.072185e+04  -2.216512e+03  -1.990022e+04  -5.072195e+04  2.217019e+03  8.594275e+03
71           -9.960067e+06  -3.434758e+04  -7.789094e+05  9.960068e+06  3.435006e+04  6.026194e+05
72           -5.936929e+05  -2.163786e+05  -8.084863e+05  5.936929e+05  2.163806e+05  -5.703200e+04
73           -1.692192e+05  3.929078e+05  2.034806e+05  1.692191e+05  -3.929078e+05  1.917847e+05
74           -9.586932e+06  -1.808584e+05  -8.029984e+05  9.586932e+06  1.808604e+05  5.703200e+04
